Aufbau Principle;The construction of the The Periodic Table from electronic configuration, building up by one electron at a time
Avogadro Constant;is approximately 6 x 1023 mol-1, the number of atoms per mole of 126C.
bacteria  (pl.) bacterium (sing);"A simple microscopic microorganisms; there are few no organelles and only small loops of DNA called plasmids."
binding site;"These are the reactive parts of large molecules; the site where molecules combine."
blood transfusion;An operation in which a patient's lost blood is replaced by blood from other people (donors). The bloods have to be from the same group.
bond length;the distance between a pair of atoms or ions in a compound
bond polarity;the ionic character of a bond resulting from the electronegativity difference between atoms
bronchodilator;A chemical which has the effect of opening up (dilating) the bronchii (airways) by causing the smooth muscle to relax.
Brønsted-Lowry acid;a proton donor in the presence of a solvent (Brønsted-Lowry base - proton acceptor)
buffer solution;a solution of a weak acid and the salt of a weak acid (or a weak base and the salt of a weak base) whose pH only changes slightly on the addition of acid or base or on dilution at a constant temperature
catalyst;A substance which when added to a reaction lowers the activation energy by providing an alternative reaction mechanism, and can be recovered unchanged in mass at the end of the reaction.  The catalyst concentration does not appear in the equilibrium expression.
cocaine;local anaesthetic
complex ion;a metal cation surrounded by a number of ligands
complex reaction;One which proceeds by a number of elementary steps
cracking;"the decomposition of a chemical substance by heating, sometimes involving a catalyst; this usually refers to a petroleum fraction being broken down into components of lower molar mass"
crystal-field theory;A theory of the electronic structures of inorganic complexes, in which the complex is assumed to consist of a central metal atom or ion surrounded by ligands that are ions.  E.g. [PtCl4]2- is throught of as a Pt2+ ion surrounded by four Cl- ions at the corners of a square. (abridged)
dialysis;A process for separating substances in solution through a selectively permeable membrane. This is used for people whose kidneys are not functioning properly, in order to filter waste urea from the blood and adjust salt balance.
DNA;This is the molecule which contains the genetic code within the nucleus. DNA is passed on from one generation to the next, which is the mechanism of inheritance.
dynamic equilibrium;a reversible reaction in which products are being converted into one another and vice-versa at a measurable rate
electrocardiogram (ECG);A recording of the electrical activity of the heart on a moving strip of paper. This gives a picture of the heart action over a period of time.
electron affinity;"The energy change for the process of bringing 1 mol of electrons from infinity to 1 mol of gaseous atoms for form 1 mol of gaseous uninegative ions at a stated temperarure and pressureX(g)  +  e-  -->  X-(g)"
electronegativity;The power of an atom in a molecule or in a bond to attract electrons to itself
electrophile;"molecule or ion which can form a new covalent bond using a pair of electrons provided by another molecule or ion; attracted to a negative centre"
elementary reaction;One which proceeds by a single step, for which the order and molecularity must be identical.  Elementary reactions are unlikely to be termolecular
empirical formula;The simplest whole number ratio of atoms in a compound
Enthalpy Change of Atomisation;"The energy change at constant pressure for(i) an element, the formation of 1 mol of gaseous atoms;(ii) a compound, the formation of gaseous atoms from 1 mol of the compound;at a stated temperature"
enthalpy change of atomisation;"the energy change at constant pressure and a stated temperature for the process of separation a substance into its constituent atoms in the ground state in the gas phase.  Usually fori) an element, the formation of 1 mol of gaseous atoms;ii) a compound, the formation of gaseous atoms from 1 mol of the compound"
Enthalpy Change of Combustion;The energy change at constant pressure for the process of burning completely in oxygen (or sometimes fluorine) 1 mol of a substance at a stated temperature
enthalpy change of hydration;the energy change at constant pressure and a stated temperature for the process of bringing 1 mol of gaseous ions from infinity to form a solution in a specified volume of water containing 1 mol of hydrated ions.
enthalpy change of neutralisation;the energy change at constant pressure and a stated temperature for the process of reacting 1 mol of hydrated protons with an equivalent amount of base
enthalpy change of reaction;the energy change at constant pressure and a stated temperature for a process in which a specified amount of reactants is converted into products at a stated temperature and pressure
enthalpy change of solution;the energy change at constant pressure and a stated temperature for the process of dissolving 1 mol of a compound in a stated amount of water
enzyme;A protein which acts as a biological catalyst, speeding up the rate of chemical reactions within the body.
equilibrium;a reaction in whcih both reactants and products are present and are being dynamically converted into one another
First Ionization Energy;"The energy change for the process of removing to infinity 1 mol of electrons from 1 mol of gaseous atoms to form 1 mol of gaseous unipositive ions at a stated temperature and pressureM(g) --> M+(g) + e-"
first ionization energy;"The energy change for the process of removing to infinity 1 mol of electrons from 1 mol of gaseous atoms to form 1 mol of gaseous unipositive ions at a stated temperature and pressure.M(g) -->  M+(g)  +  e-"
First Law of Thermodynamics (a.k.a. Law of Conservation of Energy);There are several definitions possible of which one is: energy cannot be created nor destroyed, merely changed from one form to another
fraction;a mixture of similar chemical compuonds, the boiling points of which fall within a particular range and which are separated during fractional distillation
fractional distillation;the separation of a mixture of liquids into components by collecting distillates at different temperatures
functional group;an atom or a group of atoms attached to a hydrocarbon chain which has its own characteristic set of reactions
fungi;A group of micro-organisms including yeasts, moulds and mushrooms.
gene;A short piece of DNA which is responsible for the inheritance of a particular characteristic. It codes for the production of a specific protein.
gene therapy;A treatment of a disease caused by the absence or malfuntion of a gene. Gene therapy involves supplying the normal gene.
genetically engineered virus;A virus from which all harmful parts have been removed
geometrical (cis-trans) isomers;compounds with the same molecular formula but with different arrangements of the atoms in space due to non-rotation within the molecules
H2 antagonist;A class of anti-ulcer drugs which work through the inhibition of acid production by gastric glands, by inhibition of histamine H2 sites.
Hallucinogens;Hallucinogens are drugs that alter how people experience what’s going on around them. They may hear, see and think things which are not really happening. People’s experiences vary, just as dreams can be pleasant or nightmares. LSD is a hallucinogen.
heroin;
